DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-53.5,-80.5,27.0,-100.5,-115.0,14.5
-59.25,-61.0,1.75,-104.0,-109.5,5.5
-53.0,-87.5,34.5,-95.5,-124.0,28.5
-54.75,-87.0,32.25,-96.5,-117.5,21.0
-52.75,-90.0,37.25,-93.5,-110.5,17.0
-51.25,-82.5,31.25,-105.5,-113.0,7.5
-53.0,-90.0,37.0,-93.5,-123.0,29.5
-51.0,-81.0,30.0,-97.5,-104.5,7.0
-44.75,-72.0,27.25,-90.0,-98.0,8.0
-46.0,-87.5,41.5,-97.0,-116.0,19.0
-48.5,-79.5,31.0,-97.5,-111.5,14.0
-50.0,-81.0,31.0,-101.5,-105.0,3.5
-43.0,-93.5,50.5,-91.0,-116.5,25.5
-41.75,-75.5,33.75,-99.0,-101.5,2.5
-66.5,-78.0,11.5,-129.0,-132.0,3.0
-62.25,-84.0,21.75,-112.5,-110.0,-2.5
-47.25,-68.5,21.25,-93.0,-99.5,6.5
-64.0,-124.0,60.0,-120.0,-136.0,16.0
-78.5,-92.5,14.0,-115.0,-117.5,2.5
-49.0,-78.5,29.5,-101.0,-121.5,20.5
-52.75,-93.5,40.75,-96.0,-112.0,16.0
-49.75,-63.0,13.25,-86.5,-99.5,13.0
-58.75,-73.0,14.25,-100.5,-103.5,3.0
-58.75,-90.0,31.25,-103.5,-115.0,11.5
-77.5,-95.0,17.5,-132.0,-118.0,-14.0
-57.5,-90.0,32.5,-112.5,-111.5,-1.0
-47.75,-71.5,23.75,-91.5,-107.5,16.0
-39.0,-44.75,5.75,-83.0,-71.0,-12.0
-50.25,-85.5,35.25,-92.0,-117.0,25.0
-52.25,-90.0,37.75,-93.5,-122.5,29.0
-60.25,-57.0,-3.25,-106.5,-97.5,-9.0
-59.25,-82.5,23.25,-104.0,-91.5,-12.5
-67.5,-95.5,28.0,-122.5,-114.0,-8.5
-60.75,-54.5,-6.25,-114.0,-77.5,-36.5
-47.25,-87.0,39.75,-102.0,-122.0,20.0
-52.5,-83.0,30.5,-94.5,-117.5,23.0
-53.25,-100.0,46.75,-102.0,-131.0,29.0
-50.25,-83.5,33.25,-95.0,-116.0,21.0
-51.0,-77.0,26.0,-97.5,-101.0,3.5
-67.5,-84.0,16.5,-110.5,-104.5,-6.0
-47.75,-73.0,25.25,-101.0,-96.0,-5.0
-57.5,-89.0,31.5,-106.0,-118.5,12.5
-56.0,-69.0,13.0,-100.5,-121.5,21.0
-55.25,-90.5,35.25,-98.5,-130.0,31.5
-60.25,-93.5,33.25,-111.0,-118.5,7.5
-68.0,-104.5,36.5,-108.5,-125.5,17.0
-56.75,-82.5,25.75,-107.5,-112.0,4.5
-67.5,-67.5,0.0,-113.0,-90.0,-23.0
-57.25,-71.5,14.25,-107.5,-92.0,-15.5
-55.25,-82.0,26.75,-104.0,-118.0,14.0
-48.0,-82.5,34.5,-90.0,-118.5,28.5
-63.75,-84.0,20.25,-120.5,-115.0,-5.5
-61.5,-89.0,27.5,-116.0,-116.0,0.0
-52.5,-69.5,17.0,-109.5,-103.5,-6.0
-61.0,-93.5,32.5,-110.5,-114.0,3.5
-66.5,-89.0,22.5,-102.5,-103.0,0.5
-53.5,-96.5,43.0,-97.0,-128.0,31.0
-50.5,-85.5,35.0,-96.5,-117.0,20.5
-44.25,-92.0,47.75,-91.0,-115.5,24.5
-63.75,-75.0,11.25,-120.5,-99.5,-21.0
-58.0,-72.5,14.5,-102.0,-103.0,1.0
-55.25,-87.0,31.75,-103.0,-112.5,9.5
-55.5,-51.25,-4.25,-104.5,-82.0,-22.5
-57.75,-83.5,25.75,-114.0,-112.0,-2.0
-37.5,-56.5,19.0,-81.5,-89.0,7.5
-66.5,-75.5,9.0,-115.5,-114.0,-1.5
-60.75,-85.0,24.25,-106.0,-122.0,16.0
-39.75,-77.5,37.75,-84.5,-110.5,26.0
-40.25,-76.0,35.75,-87.5,-114.5,27.0
-54.25,-70.0,15.75,-99.0,-112.5,13.5
-58.0,-75.5,17.5,-114.0,-95.0,-19.0
-59.25,-74.0,14.75,-99.5,-104.5,5.0
-57.5,-49.25,-8.25,-117.0,-77.5,-39.5
-56.0,-90.0,34.0,-103.5,-117.5,14.0
-52.5,-83.5,31.0,-95.5,-107.0,11.5
-56.0,-69.0,13.0,-103.5,-101.0,-2.5
-60.5,-80.5,20.0,-107.0,-112.5,5.5
-53.75,-95.5,41.75,-109.5,-131.0,21.5
-48.0,-98.0,50.0,-98.0,-152.0,54.0
-59.25,-75.5,16.25,-109.5,-107.0,-2.5
-63.5,-97.5,34.0,-117.5,-131.0,13.5
-52.75,-91.0,38.25,-104.5,-102.0,-2.5
-44.0,-80.5,36.5,-87.5,-101.5,14.0
-55.25,-79.5,24.25,-89.5,-111.0,21.5
-70.0,-40.5,-29.5,-120.5,-70.0,-50.5
-42.75,-74.0,31.25,-89.0,-104.5,15.5
-50.25,-93.0,42.75,-98.0,-116.5,18.5
-44.0,-101.5,57.5,-98.5,-123.5,25.0
-51.75,-66.5,14.75,-98.5,-111.0,12.5
-53.75,-90.5,36.75,-93.5,-124.5,31.0
-56.5,-80.5,24.0,-106.0,-100.0,-6.0
-49.5,-51.25,1.75,-86.0,-83.5,-2.5
-52.5,-74.0,21.5,-104.5,-114.5,10.0
-55.25,-97.5,42.25,-110.0,-118.0,8.0
-53.25,-104.5,51.25,-100.0,-118.0,18.0
-60.25,-92.0,31.75,-115.5,-121.5,6.0
-51.25,-70.5,19.25,-102.0,-98.5,-3.5
-53.5,-85.0,31.5,-109.0,-100.5,-8.5
-42.25,-89.5,47.25,-111.0,-117.0,6.0
-55.5,-50.0,-5.5,-93.0,-73.0,-20.0
-56.25,-79.0,22.75,-103.0,-117.0,14.0
-49.75,-63.5,13.75,-101.0,-114.5,13.5
-59.75,-71.0,11.25,-97.0,-114.0,17.0
-60.75,-89.5,28.75,-125.5,-120.5,-5.0
-46.25,-50.75,4.5,-88.0,-81.5,-6.5
-62.25,-94.5,32.25,-108.0,-119.5,11.5
-55.75,-86.0,30.25,-105.0,-103.0,-2.0
-40.75,-66.5,25.75,-87.5,-106.0,18.5
-51.75,-75.5,23.75,-109.5,-106.0,-3.5
-48.25,-83.5,35.25,-94.5,-109.5,15.0
-50.5,-83.5,33.0,-99.0,-125.5,26.5
-59.75,-95.0,35.25,-112.0,-105.5,-6.5
-53.25,-78.5,25.25,-94.5,-111.0,16.5
-51.75,-89.0,37.25,-100.5,-111.0,10.5
-66.0,-87.0,21.0,-113.0,-119.0,6.0
-59.25,-91.5,32.25,-112.0,-116.5,4.5
-63.25,-76.0,12.75,-109.5,-122.0,12.5
-52.0,-74.5,22.5,-93.5,-91.5,-2.0
-63.75,-82.0,18.25,-107.5,-124.5,17.0
-61.0,-86.0,25.0,-102.5,-120.5,18.0
-56.25,-77.5,21.25,-99.0,-115.0,16.0
-46.75,-68.5,21.75,-90.5,-92.5,2.0
-51.75,-73.0,21.25,-102.0,-113.0,11.0
-55.5,-90.5,35.0,-100.5,-127.5,27.0
-62.75,-94.0,31.25,-105.0,-106.5,1.5
-50.75,-77.5,26.75,-102.5,-102.5,0.0
-41.0,-89.0,48.0,-75.0,-114.0,39.0
-48.5,-92.5,44.0,-102.0,-121.5,19.5
-41.25,-54.5,13.25,-79.0,-83.5,4.5
-49.5,-85.0,35.5,-91.0,-115.5,24.5
-59.0,-76.5,17.5,-106.5,-104.0,-2.5
-41.25,-54.0,12.75,-93.5,-92.5,-1.0
-68.0,-44.75,-23.25,-118.5,-75.0,-43.5
-53.75,-81.5,27.75,-101.5,-105.5,4.0
-64.5,-82.5,18.0,-117.5,-109.5,-8.0
-49.75,-75.0,25.25,-101.0,-107.0,6.0
-55.25,-90.5,35.25,-109.0,-113.0,4.0
-66.0,-93.5,27.5,-121.0,-127.0,6.0
